# Class	FunctionAddr	Size	Strings
MULSSComponentRenderer	012a8c90	45108	6 strings
MUElementAnalyzer	0146c830	38131	2 strings
MUElementAnalyzer	0158c060	34784	4 strings
MUAudioSourceDescription	0133bd20	34174	3 strings
MDEditorViewController	00212cd0	29132	80 strings
MUSpectrumShaper	006122f0	23419	65 strings
MULSSComponentRenderer	0111f300	20762	1 strings
GNList	01f72160	18918	4 strings
GNString	01cd2c30	18670	17 strings
MUAudioSourcePrincipalItem	0132f280	17702	3 strings
GNObject	00d5af30	17348	5 strings
MUElementAnalyzer	00767640	17225	2 strings
GNList	017b3920	17189	3 strings
GNList	017c68a0	16919	75 strings
MUSampledFunction	0125f0b0	16690	1 strings
GNList	00774db0	16232	1 strings
GNString	0167bc80	15358	22 strings
Resynthesis	018431f0	14689	1 strings
MDDetectionAudioSourceInsp	0047a4c0	14402	40 strings
MUAudioSourcePrincipalItem	01336350	13387	1 strings
MDURLOpenedController	00631c50	12971	3 strings
MUSampledFunction	013764e0	12143	1 strings
MUAudioSourceAttackItem	0125a5f0	12017	1 strings
GNInt	00aff2e0	11911	70 strings
MUTempoEditorView	01c46d90	11726	33 strings
GNValue	01c9dc20	11620	1 strings
MUAudioSourcePrincipalItem	017ee2e0	11571	1 strings
MUAudioFileSource	0047dd70	11519	3 strings
MUElementAnalyzer	01141790	11251	73 strings
MDDocumentViewController	006f07b0	11069	31 strings
MUAudioSourcePrincipalItem	0195cb20	10769	1 strings
MUAraDocumentController	006024d0	10476	68 strings
GNFilePath	0007cb70	10297	5 strings
MDMetaWindowController	0032d440	10036	2 strings
GNView	0084ee20	10003	62 strings
GNTableView	00194050	9938	1 strings
MUElementAnalyzer	01103ee0	9650	62 strings
MUScalePitchSystem	01a26560	9578	1 strings
MUSampledFunction	0079f9e0	9493	5 strings
MUAudioSourcePrincipalItem	01960580	9438	1 strings
GNList	01e94020	9044	1 strings
GNList	01f5bf10	8960	2 strings
MUDetectionEditorView	01924a10	8862	2 strings
MUElementAnalyzer	01139490	8849	1 strings
MUScalePitchSystem	01994460	8836	1 strings
GNRunLoopObserverDelegate	0085e050	8713	3 strings
MUAudioSourcePrincipalItem	01356870	8589	1 strings
GNDictionaryImpl	00ca2870	8571	22 strings
GNData	007dd720	8569	3 strings
GNData	017f7200	8250	1 strings
GNList	00c7c740	8215	21 strings
PitchDetection	01135410	8173	60 strings
MUPercussivePitchSystem	01a2b2e0	8137	2 strings
GNData	00528fe0	8031	3 strings
GNList	006decb0	7923	3 strings
MUSampledFunction	014c03f0	7885	1 strings
GNList	01e978e0	7846	3 strings
GNList	00d4d060	7782	23 strings
MUAudioFileSource	00157780	7660	2 strings
GNAudioProcessor	0168b410	7607	2 strings
GNString	00254fb0	7598	1 strings
GNList	00ca65b0	7511	20 strings
GNList	019d6f50	7495	1 strings
MUElementAnalyzer	0074ea80	7348	1 strings
MUPercussivePitchSystem	01324620	7178	6 strings
GNList	01bae3c0	7121	1 strings
MUSpectrumShaper	01ac7020	7048	1 strings
