# Address	Size	Class	StringRefs	CallCount
003c19b0	485284	Unknown	DECOMPILE_FAILED	0
0065f880	390766	Unknown	DECOMPILE_FAILED	0
004bd000	206391	Unknown	no strings	1
015cd2c0	103639	Unknown	DECOMPILE_FAILED	0
015592a0	100487	GNDictionary	DECOMPILE_FAILED	0
013a2780	75220	Unknown	DECOMPILE_FAILED	0
01447a70	71837	MUElementAnalyzer	DECOMPILE_FAILED	0
00722630	71063	Unknown	DECOMPILE_FAILED	0
007cc310	60902	Unknown	no strings	1
000c7ac0	58608	Unknown	DECOMPILE_FAILED	0
00162ad0	58160	Unknown	no strings	1
01433f60	57867	MUElementAnalyzer	DECOMPILE_FAILED	0
01895270	55091	Unknown	DECOMPILE_FAILED	0
012a8c90	45108	MULSSComponentRenderer	6 strings	348
01606530	43505	Unknown	DECOMPILE_FAILED	0
013c9530	41983	Unknown	no strings	1051
0159bec0	38432	GNFilePath	DECOMPILE_FAILED	0
0146c830	38131	MUElementAnalyzer	2 strings	726
014902f0	36910	Unknown	no strings	550
0158c060	34784	MUElementAnalyzer	4 strings	665
0133bd20	34174	MUAudioSourceDescription	3 strings	747
0120d5e0	31148	Unknown	no strings	639
00ba21f0	29958	Unknown	24 strings	917
00212cd0	29132	MDEditorViewController	80 strings	386
01544f10	27709	Unknown	no strings	621
01484bc0	26028	Unknown	no strings	468
01621ee0	25394	Unknown	no strings	409
01eea1b0	25376	Unknown	3 strings	465
01add020	25206	Unknown	1 strings	447
01af8560	24765	Unknown	8 strings	697
011f8900	24558	Unknown	no strings	694
00281c60	24482	Unknown	no strings	661
006122f0	23419	MUSpectrumShaper	65 strings	307
018f0ec0	22296	Unknown	6 strings	411
00d7e380	22235	Unknown	no strings	911
0141f4b0	22100	Unknown	no strings	564
018c8ac0	21900	Unknown	16 strings	975
0059ed40	20882	MUAudioSourceDescription	DECOMPILE_FAILED	0
0111f300	20762	MULSSComponentRenderer	1 strings	375
01463a60	20480	Unknown	no strings	478
0184b210	19999	Unknown	no strings	408
0137e3a0	19779	Unknown	no strings	427
018516f0	19056	Unknown	no strings	441
01f72160	18918	GNList	4 strings	412
001474b0	18752	Unknown	no strings	287
01cd2c30	18670	GNString	17 strings	449
012046b0	18628	Unknown	no strings	247
01ac0bd0	18564	Unknown	no strings	268
017ab350	18513	Unknown	2 strings	511
0186c0d0	18176	Unknown	no strings	359
012193d0	18065	Unknown	no strings	293
00b90f70	17739	Unknown	26 strings	548
0132f280	17702	MUAudioSourcePrincipalItem	3 strings	377
0129b6c0	17518	Unknown	no strings	481
00d5af30	17348	GNObject	5 strings	230
00767640	17225	MUElementAnalyzer	2 strings	481
017b3920	17189	GNList	3 strings	482
0135f200	17039	Unknown	no strings	368
0122b810	16977	Unknown	no strings	422
017c68a0	16919	GNList	75 strings	352
01806b70	16823	Unknown	no strings	287
0125f0b0	16690	MUSampledFunction	1 strings	231
0153e0c0	16414	Unknown	no strings	448
00393710	16399	Unknown	no strings	526
00ea47f0	16351	Unknown	3 strings	9
014c7490	16239	Unknown	no strings	222
00774db0	16232	GNList	1 strings	442
01553b80	16108	Unknown	no strings	418
016e0170	15910	Unknown	no strings	366
0139d310	15825	Unknown	no strings	269
01721000	15762	Unknown	9 strings	554
012216b0	15730	Unknown	no strings	313
00141fc0	15500	Unknown	no strings	254
0167bc80	15358	GNString	22 strings	408
01400f40	15147	Unknown	6 strings	439
016c4850	15112	Unknown	no strings	384
009c0d4c	15061	Unknown	no strings	574
01b31bc0	14986	Unknown	6 strings	402
018431f0	14689	Resynthesis	1 strings	428
0183dda0	14667	Unknown	no strings	360
