# Address	Size	Class	Source
000030f0	612	GNPlugInControllerWrapper	addr_proximity_forward
00003ae0	534	GNPlugInControllerWrapper	original
00005710	511	GNPlugInControllerWrapper	addr_proximity_backward
000067e0	4919	GNLocaleDataProvider	original
00009570	825	GNLicenseActivationDataDecryptor	original
0000bce0	1653	GNPlugInWrapper	original
0000dfe0	541	MUHostTimelineReader	original
0000ef30	1255	GNAudioPlugInDescription	original
00010750	665	GNAudioPlugInDescription	original
00010a10	522	GNAudioPlugInDescription	original
00010c40	519	GNAudioPlugInDescription	original
000111e0	1686	MUAraPlugInWrapper	original
00013150	1063	MUAraPlugInWrapper	addr_proximity_backward
00016510	761	GNString	field_patterns
00016af0	743	Unknown	original
0001cda0	529	GNJob	original
00023d10	1281	GNQueue	original
00026600	955	GNObject	original
000278b0	830	GNProperty	original
00029710	558	GNAttributeType	original
0002a9b0	1586	GNObject	original
0002cde0	2127	GNList	original
0002ecf0	517	GNBitfield	original
0002f270	519	GNBitfield	addr_proximity_backward
0002f700	1627	GNClassDescription	original
000343f0	551	GNClassModel	original
00038300	1006	GNInt	original
00039550	546	GNInt	addr_proximity_backward
00039a90	4091	GNUni	original
0003cc30	538	GNFastFourierTransformer	addr_proximity_forward
0003e610	789	GNFastFourierTransformer	original
0003ee50	835	GNFile	original
0003f4c0	550	GNFile	original
00040690	512	GNFileArchive	original
00043ac0	538	GNFraction	original
00043f30	883	GNCTypeID	original
00044470	2086	GNOperationProgressObserver	original
00045190	512	GNJob	original
00045510	512	GNOperationProgressObserver	original
00045740	626	GNJob	original
00046ae0	1175	GNJobCenter	original
000493b0	1047	GNObject	original
0004b1c0	1082	GNObject	original
00051da0	581	GNNotification	original
00052160	656	GNNotificationCenter	original
00053f90	553	GNStringAnalyzer	original
00057c70	756	GNRange	original
000585f0	610	GNVariable	original
00059a60	812	GNRunLoopObserver	original
0005a0f0	512	GNUni	original
0005aa20	1154	GNResponder	original
0005ce40	519	GNSortOrdering	original
0005f200	658	GNTask	original
00060b50	1889	GNThread	original
000619d0	557	GNThread	original
00062bf0	1069	GNTypedStream	original
000639a0	550	GNTypedStream	original
00064b50	713	GNObject	original
00065940	1652	GNUndoManager	original
00068b60	572	GNInt	original
00068fb0	679	MDAnalyserTestView	original
00069350	667	MDAnalyserTestView	addr_proximity_backward
00069a10	1054	MDMetaWindowController	original
0006a130	812	MDAudioTrackItem	original
0006a5a0	589	MDAudioTrackItem	addr_proximity_backward
0006a850	785	MDAudioTrackItem	addr_proximity_backward
0006b020	2257	MDAudioTrackItem	addr_proximity_backward
0006bed0	939	MDAudioTrackItem	addr_proximity_backward
0006c760	2360	MDAudioTrackItem	addr_proximity_backward
0006ec00	1367	MDToolbarGridCtrl	original
0006f3d0	576	MDMetaWindowController	original
0006f9e0	1392	MDMetaWindowController	addr_proximity_both
000703d0	953	MDMetaWindowController	addr_proximity_both
00070b90	1019	MDMetaWindowController	addr_proximity_both
000714a0	775	MDMetaWindowController	original
00072af0	2596	MDMetaWindowController	addr_proximity_backward
00073b40	612	MDMetaWindowController	addr_proximity_backward
00073fd0	1188	MDEditorScrollView	original
000756d0	815	MUMultiTrackHeaderViewController	original
00075c20	5472	MUMultiTrackHeaderViewController	addr_proximity_backward
000781f0	3369	GNFilePath	addr_proximity_forward
0007a0d0	4875	GNFilePath	original
0007bcd0	1947	GNFilePath	addr_proximity_both
0007cb70	10297	GNFilePath	original
000813d0	657	Unknown	original
00082580	647	MUSpectrumShaper	field_patterns
000830c0	635	MUElementAnalyzer	field_patterns
00084b70	1089	MDMetaWindowController	addr_proximity_forward
00085bd0	732	MDMetaWindowController	original
00085f60	1225	MDMetaWindowController	addr_proximity_backward
000866b0	605	MDMetaWindowController	addr_proximity_backward
000870e0	4785	MDToolbarTempoCtrl	original
000883e0	589	MDToolbarTempoCtrl	addr_proximity_backward
000887a0	748	MDMetaWindowController	original
00088bb0	2548	MDMetaWindowController	original
00089e00	1273	MDMetaWindowController	addr_proximity_both
0008a6e0	1963	MDMetaWindowController	original
0008b310	683	MDMetaWindowController	original
0008b6c0	3420	MDMetaWindowController	addr_proximity_both
0008d170	2287	MDMetaWindowController	original
0008dd70	1583	MDMetaWindowController	addr_proximity_both
0008eac0	754	MDMetaWindowController	addr_proximity_both
0008ee80	1852	MDMetaWindowController	original
0008f9e0	1857	MDMetaWindowController	original
00090480	527	MDMetaWindowController	addr_proximity_backward
00090780	549	MDMetaWindowController	addr_proximity_backward
00090b20	681	MDMetaWindowController	addr_proximity_backward
000916b0	1990	MDMetaWindowController	addr_proximity_backward
00093470	613	MDMetaWindowController	addr_proximity_backward
00093f60	1069	MDMetaWindowController	addr_proximity_backward
00094580	1103	MDMetaWindowController	addr_proximity_backward
00094d10	763	MDMetaWindowController	addr_proximity_backward
00095750	3845	GNRootView	original
00098b00	875	Unknown	original
00099fa0	664	GNString	field_patterns
0009a390	1343	GNString	field_patterns
0009acf0	525	Unknown	original
0009b2d0	3171	Unknown	original
0009c8e0	528	GNString	call_graph_iter1
0009ce00	1174	GNString	call_graph_iter1
0009ddd0	796	GNList	addr_proximity_forward
0009e200	1555	GNList	addr_proximity_both
0009edf0	642	GNList	addr_proximity_both
0009f2a0	2713	GNList	original
000a0cb0	862	GNInspector	original
000a32b0	5474	GNResponder	original
000a5ee0	2930	MDWorkspaceView	original
000a6b00	704	MDWorkspaceView	original
000a8dd0	577	MDNotificationObserver	original
000a9c40	1176	MDNotificationObserver	addr_proximity_backward
000aa260	1762	MDNotificationObserver	addr_proximity_backward
000ac6d0	1326	Unknown	original
000b41e0	609	MDAsyncProcess	original
000b5720	562	MDAsyncProcess	addr_proximity_backward
000b6c10	665	MDAsyncProcess	addr_proximity_backward
000b7160	702	MDAsyncProcess	addr_proximity_backward
000b75e0	2047	MDAsyncProcess	addr_proximity_backward
000b8680	6004	MDAsyncProcess	addr_proximity_backward
000ba700	821	MDMetaWindowController	addr_proximity_forward
000bace0	629	MDMetaWindowController	addr_proximity_both
000bb160	2214	MDMetaWindowController	original
000bc580	1690	MDMetaWindowController	addr_proximity_backward
000bd140	890	MDMetaWindowController	addr_proximity_backward
000bff70	807	Unknown	original
000c1be0	601	GNString	field_patterns
000c24e0	562	Unknown	original
000c28c0	2572	Unknown	original
000c3e50	543	GNRootView	addr_proximity_forward
000c4430	647	GNRootView	addr_proximity_both
000c49f0	3184	GNRootView	original
000c6250	615	GNRootView	addr_proximity_backward
000c67f0	536	GNRootView	addr_proximity_backward
000c6aa0	1823	GNRootView	addr_proximity_backward
000c7760	521	GNRootView	addr_proximity_backward
000c7ac0	58608	GNRootView	addr_proximity_backward
000e2470	513	Unknown	original
000e95a0	3421	MDToolbarTransportCtrl	original
000ea4c0	992	MUMultiTrackView	original
000eab90	1031	MDMetaWindowController	original
000eb190	2024	MDMetaWindowController	addr_proximity_both
000ebf80	794	MDMetaWindowController	addr_proximity_both
000ecb60	523	MDMetaWindowController	addr_proximity_both
000eceb0	1079	MDMetaWindowController	original
000ee1a0	519	MDRightInspectorController	original
000ee4c0	1026	MDToolbarRightConfigCtrl	original
000ee8f0	1116	MDMetaWindowController	original
000eef00	849	MDMetaWindowController	addr_proximity_both
000ef7c0	800	MDMetaWindowController	addr_proximity_both
000efd20	905	MDMetaWindowController	original
000f12a0	568	MDSystemLoadView	original
000f1700	2591	MDSystemLoadView	addr_proximity_backward
000f2940	2739	MDToolbarActivityCtrl	original
000f3710	683	MDMetaWindowController	original
000f3ac0	611	MDMetaWindowController	original
000f3de0	775	MUElementAnalyzer	original
000f4cc0	593	MUElementAnalyzer	addr_proximity_backward
000f62d0	3635	GNControl	original
000f8a60	519	GNControl	original
000f9080	599	GNControl	original
000f9300	678	GNControl	addr_proximity_backward
000f95b0	594	GNControl	addr_proximity_backward
000fabd0	1175	GNHeartbeatHandler	original
000fbb00	947	MDSystemLoadView	original
000fdf90	589	MDToolbarQuantizeMacrosCtrl	addr_proximity_forward
000fec10	685	MDToolbarQuantizeMacrosCtrl	original
000ff260	600	MDMetaWindowController	original
000ff590	982	MDMetaWindowController	addr_proximity_backward
001001a0	3335	MUSampledFunction	original
00102320	679	MDNoLicenseController	original
00102850	1071	MDNoLicenseController	addr_proximity_backward
00103050	3569	MDURLOpenedController	original
00104fb0	2272	MDURLOpenedController	addr_proximity_backward
00106380	2995	MDURLOpenedController	addr_proximity_backward
00107b60	648	MDURLOpenedController	addr_proximity_backward
00108380	1382	MDURLOpenedController	addr_proximity_backward
00108e20	2425	MDURLOpenedController	addr_proximity_backward
00109ad0	1079	MDURLOpenedController	addr_proximity_backward
0010ae60	2199	MUTempoEditorView	original
0010c180	523	MUTempoEditorView	addr_proximity_backward
0010cbb0	795	MUTempoEditorView	addr_proximity_backward
0010d0c0	960	MUTempoEditorView	addr_proximity_backward
0010db00	3362	GNSoundFile	original
0010f410	758	GNSoundFile	addr_proximity_backward
0010f8e0	1627	GNSoundFile	addr_proximity_backward
00110420	1308	GNString	original
00110e00	1509	GNList	original
001115a0	904	GNList	addr_proximity_both
00111ab0	4582	GNList	original
00113760	3368	GNList	addr_proximity_backward
00116d00	519	MDRecordingPrefCtrl	original
001177c0	5535	MDRecordingPrefCtrl	addr_proximity_backward
00119af0	1444	MDExportController	addr_proximity_forward
0011a370	3044	MDExportController	addr_proximity_both
0011b850	3053	MDExportController	original
0011c470	4164	MDExportController	addr_proximity_backward
0011e190	1589	GNStringTable	original
0011eac0	601	GNStringTable	addr_proximity_backward
