00013ad0	_C869701EF43D
00015710	_E47C2F6A98B9
00015720	_D1B1BBF33E6C
00015730	_F998CFF24768
00015740	_C8C6A8649030
00ea96e8	_FSE_buildDTable_wksp
00ea991d	_FSE_decompress_wksp_bmi2
00eaaf44	_ZSTD_updateTree
00eab350	_ZSTD_compressBlock_btopt
00eac75d	_ZSTD_compressBlock_btultra
00eadb92	_ZSTD_compressBlock_btultra2
00eadc6a	_ZSTD_compressBlock_btopt_dictMatchState
00eadc7a	_ZSTD_compressBlock_btultra_dictMatchState
00eadc8a	_ZSTD_compressBlock_btopt_extDict
00eadc9a	_ZSTD_compressBlock_btultra_extDict
00eb891c	_ZSTD_sizeof_DCtx
00eb8957	_ZSTD_estimateDCtxSize
00eb8962	_ZSTD_initStaticDCtx
00eb8a46	_ZSTD_createDCtx_advanced
00eb8abf	_ZSTD_createDCtx
00eb8ae2	_ZSTD_freeDCtx
00eb8bd7	_ZSTD_copyDCtx
00eb8be6	_ZSTD_isFrame
00eb8c11	_ZSTD_isSkippableFrame
00eb8c2f	_ZSTD_frameHeaderSize
00eb8ca6	_ZSTD_getFrameHeader_advanced
00eb8edd	_ZSTD_getFrameHeader
00eb8ee9	_ZSTD_getFrameContentSize
00eb8f25	_ZSTD_readSkippableFrame
00eb8fd2	_ZSTD_findDecompressedSize
00eb90db	_ZSTD_findFrameCompressedSize
00eb9101	_ZSTD_getDecompressedSize
00eb927a	_ZSTD_decompressBound
00eb92df	_ZSTD_decompressionMargin
00eb93ae	_ZSTD_insertBlock
00eb93de	_ZSTD_decompress_usingDict
00eb989f	_ZSTD_decompressDCtx
00eb992a	_ZSTD_decompress_usingDDict
00eb9942	_ZSTD_decompress
00eb99b6	_ZSTD_nextSrcSizeToDecompress
00eb99c3	_ZSTD_nextInputType
00eb99e6	_ZSTD_decompressContinue
00eb9f75	_ZSTD_loadDEntropy
00eba21a	_ZSTD_decompressBegin
00eba2c1	_ZSTD_decompressBegin_usingDict
00eba428	_ZSTD_decompressBegin_usingDDict
00eba521	_ZSTD_getDictID_fromDict
00eba53a	_ZSTD_getDictID_fromFrame
00eba576	_ZSTD_createDStream
00eba599	_ZSTD_initStaticDStream
00eba5db	_ZSTD_createDStream_advanced
00eba5e5	_ZSTD_freeDStream
