# Top 200 largest anonymous functions (likely DSP/core logic)
# Size	Address	Name
485284	003c19b0	FUN_003c19b0
390766	0065f880	FUN_0065f880
206391	004bd000	FUN_004bd000
103639	015cd2c0	FUN_015cd2c0
100487	015592a0	FUN_015592a0
75220	013a2780	FUN_013a2780
71837	01447a70	FUN_01447a70
71063	00722630	FUN_00722630
60902	007cc310	FUN_007cc310
58608	000c7ac0	FUN_000c7ac0
58160	00162ad0	FUN_00162ad0
57867	01433f60	FUN_01433f60
55091	01895270	FUN_01895270
45108	012a8c90	FUN_012a8c90
43505	01606530	FUN_01606530
41983	013c9530	FUN_013c9530
38432	0159bec0	FUN_0159bec0
38131	0146c830	FUN_0146c830
36910	014902f0	FUN_014902f0
34784	0158c060	FUN_0158c060
34174	0133bd20	FUN_0133bd20
31148	0120d5e0	FUN_0120d5e0
29958	00ba21f0	FUN_00ba21f0
29132	00212cd0	FUN_00212cd0
27709	01544f10	FUN_01544f10
26028	01484bc0	FUN_01484bc0
25394	01621ee0	FUN_01621ee0
25376	01eea1b0	FUN_01eea1b0
25206	01add020	FUN_01add020
24765	01af8560	FUN_01af8560
24558	011f8900	FUN_011f8900
24482	00281c60	FUN_00281c60
23419	006122f0	FUN_006122f0
22296	018f0ec0	FUN_018f0ec0
22235	00d7e380	FUN_00d7e380
22100	0141f4b0	FUN_0141f4b0
21900	018c8ac0	FUN_018c8ac0
20882	0059ed40	FUN_0059ed40
20762	0111f300	FUN_0111f300
20480	01463a60	FUN_01463a60
19999	0184b210	FUN_0184b210
19779	0137e3a0	FUN_0137e3a0
19056	018516f0	FUN_018516f0
18918	01f72160	FUN_01f72160
18752	001474b0	FUN_001474b0
18670	01cd2c30	FUN_01cd2c30
18628	012046b0	FUN_012046b0
18564	01ac0bd0	FUN_01ac0bd0
18513	017ab350	FUN_017ab350
18176	0186c0d0	FUN_0186c0d0
18065	012193d0	FUN_012193d0
17739	00b90f70	FUN_00b90f70
17702	0132f280	FUN_0132f280
17518	0129b6c0	FUN_0129b6c0
17348	00d5af30	FUN_00d5af30
17225	00767640	FUN_00767640
17189	017b3920	FUN_017b3920
17039	0135f200	FUN_0135f200
16977	0122b810	FUN_0122b810
16919	017c68a0	FUN_017c68a0
16823	01806b70	FUN_01806b70
16690	0125f0b0	FUN_0125f0b0
16414	0153e0c0	FUN_0153e0c0
16399	00393710	FUN_00393710
16351	00ea47f0	FUN_00ea47f0
16239	014c7490	FUN_014c7490
16232	00774db0	FUN_00774db0
16108	01553b80	FUN_01553b80
15910	016e0170	FUN_016e0170
15825	0139d310	FUN_0139d310
15762	01721000	FUN_01721000
15730	012216b0	FUN_012216b0
15500	00141fc0	FUN_00141fc0
15358	0167bc80	FUN_0167bc80
15147	01400f40	FUN_01400f40
15112	016c4850	FUN_016c4850
15061	009c0d4c	FUN_009c0d4c
14986	01b31bc0	FUN_01b31bc0
14689	018431f0	FUN_018431f0
14667	0183dda0	FUN_0183dda0
14575	00295c20	FUN_00295c20
14451	01cbadc0	FUN_01cbadc0
14403	00ea0e90	FUN_00ea0e90
14402	0047a4c0	FUN_0047a4c0
14395	016e5250	FUN_016e5250
14394	014e36c0	FUN_014e36c0
14292	0175f840	FUN_0175f840
14012	01af2520	FUN_01af2520
13469	00f37b90	FUN_00f37b90
13399	0198aca0	FUN_0198aca0
13387	01336350	FUN_01336350
13222	01300180	FUN_01300180
13093	00714f50	FUN_00714f50
12994	0178c910	FUN_0178c910
12971	00631c50	FUN_00631c50
12958	01647910	FUN_01647910
12555	009eb901	FUN_009eb901
12359	0028b3b0	FUN_0028b3b0
12355	019af4c0	FUN_019af4c0
12343	01226cd0	FUN_01226cd0
12250	01984dd0	FUN_01984dd0
12196	01617da0	FUN_01617da0
12143	013764e0	FUN_013764e0
12103	01ae5410	FUN_01ae5410
12017	0125a5f0	FUN_0125a5f0
11983	013bfbf0	FUN_013bfbf0
11911	00aff2e0	FUN_00aff2e0
11889	00228b40	FUN_00228b40
11843	0093498e	FUN_0093498e
11753	0179b9c0	FUN_0179b9c0
11747	0145f790	FUN_0145f790
11726	0161e440	FUN_0161e440
11726	01c46d90	FUN_01c46d90
11637	01dd9800	FUN_01dd9800
11620	01c9dc20	FUN_01c9dc20
11592	01d3d7f0	FUN_01d3d7f0
11571	017ee2e0	FUN_017ee2e0
11519	0047dd70	FUN_0047dd70
11450	0031f210	FUN_0031f210
11313	01278f90	FUN_01278f90
11251	01141790	FUN_01141790
11250	01372190	FUN_01372190
11235	016dcbf0	FUN_016dcbf0
11197	01399490	FUN_01399490
11069	006f07b0	FUN_006f07b0
10928	00f3f590	FUN_00f3f590
10773	009a4112	FUN_009a4112
10769	0195cb20	FUN_0195cb20
10768	01b68f20	FUN_01b68f20
10729	0181a1a0	FUN_0181a1a0
10654	006487e0	FUN_006487e0
10653	01ee0e80	FUN_01ee0e80
10520	017ba210	FUN_017ba210
10476	006024d0	FUN_006024d0
10440	014ddc50	FUN_014ddc50
10423	01c54470	FUN_01c54470
10346	00342300	FUN_00342300
10333	0130b770	FUN_0130b770
10307	014d9720	FUN_014d9720
10297	0007cb70	FUN_0007cb70
10293	0024e680	FUN_0024e680
10095	01862050	FUN_01862050
10036	0032d440	FUN_0032d440
10003	0084ee20	FUN_0084ee20
9979	0148ced0	FUN_0148ced0
