# Class	Property	Type/Offset
Unknown_0000	_areDocumentsUnstable	bool
Unknown_0000	_carbonOnlyPreferencesMenuItemEnabled	bool
Unknown_0000	_defaultFileType	GNFileType
Unknown_0000	_detectAfterTransfer	GNInt @0x2c
Unknown_0000	_didReceiveKeyEvent	bool
Unknown_0000	_documentControllerMap	GNDictionary
Unknown_0000	_enableAlternativeResourceFolder	bool
Unknown_0000	_expectedNextPlaybackSampleIndex	SInt64
Unknown_0000	_filesToOpen	GNList
Unknown_0000	_isAvailable	bool
Unknown_0000	_isEnabled	bool
Unknown_0000	_isKeyboardNavigationEnabled	bool
Unknown_0000	_isReading	bool
Unknown_0000	_isRunningDialog	GNInt
Unknown_0000	_isRunningSystemDialog	GNInt
Unknown_0000	_isSettingParameterState	bool
Unknown_0000	_isSongPositionWhileStoppedWorkaroundDisabled	bool
Unknown_0000	_lastModalResult	GNInt
Unknown_0000	_lastRenderTransportWasPlaying	bool
Unknown_0000	_lastSoundFileAccessTime	double
Unknown_0000	_lastTestResults	GNString
Unknown_0000	_nWaitCursor	GNInt
Unknown_0000	_plugins	GNDictionary
Unknown_0000	_provokeExceptionWithinNextEvent	bool
Unknown_0000	_recursiveLock	GNRecursiveLock
Unknown_0000	_redoActionCountOfUndoMenu	GNInt
Unknown_0000	_resignsFirstResponderASAP	bool
Unknown_0000	_showFullPathsInResentMenu	bool
Unknown_0000	_stateIsModified	bool
Unknown_0000	_terminatesOnLastDocumentClosed	bool
Unknown_0000	_title	GNString
Unknown_0000	_undoActionCountOfUndoMenu	GNInt
Unknown_0000	_windowsOnlyCreateInfoMenuItemIfNeeded	bool
Unknown_0000	_windowsOnlyCreatePreferencesMenuItemIfNeeded	bool
Unknown_0000	_windowsOnlyShowMenuOnStartUp	bool
Unknown_0001	_araBindingLockFlags	MUAraBindingLockFlags
Unknown_0001	_araInstance	const void *
Unknown_0001	_bindToDocumentControllerPending	bool
Unknown_0001	_identifier	GNString
Unknown_0001	_isEditorRenderer	bool
Unknown_0001	_isEditorView	bool
Unknown_0001	_isPlaybackRenderer	bool
Unknown_0001	_kind	GNAudioPlugInKind
Unknown_0001	_manufacturer	GNString
Unknown_0001	_type	GNAudioPlugInType
Unknown_0001	_userDictionary	GNDictionary
Unknown_0001	_validationState	GNAudioPlugInValidationState
Unknown_0002	_allClassDescriptions	GNHashedList
Unknown_0002	_allKeys	GNHashedList
Unknown_0002	_allObjects	GNHashedList
Unknown_0002	_archiveVersion	GNInt
Unknown_0002	_archivedObjects	GNHashedList
Unknown_0002	_awakesObjectsAfterDecoding	bool
Unknown_0002	_cType	GNString
Unknown_0002	_canCodeResourceNameCache	GNInt
Unknown_0002	_capacity	GNInt
Unknown_0002	_classDescriptionKVTypeInfosMap	GNHashedDictionary
Unknown_0002	_classDescriptions	GNHashedList
Unknown_0002	_classname	GNString
Unknown_0002	_coding	bool
Unknown_0002	_count	GNInt
