# ClassName	Offset	Value	Hex	Type	SourceFile	Context
GNClipView	0x164	1	0x3f800000	hex_float	01cf3b20.c	x164)) || NAN(DAT_02390124))) {         *(undefined4 *)((longlong)unaff_RDI + 0x164) = 0x3f800000;         goto LAB_01
GNClipView	0x16c	1	0x3f800000	hex_float	01cf3b20.c	x16c)) || NAN(DAT_02390124))) {         *(undefined4 *)((longlong)unaff_RDI + 0x16c) = 0x3f800000;         goto LAB_01
GNClipView	0x2d	1	0x3f800000	hex_float	01cf3b20.c	0x2d)) || NAN(DAT_02390124))) {         *(undefined4 *)(unaff_RDI + 0x2d) = 0x3f800000;         goto LAB_01
GNClipView	0x2e	1	0x3f800000	hex_float	01cf3b20.c	0x2e)) || NAN(DAT_02390124))) {         *(undefined4 *)(unaff_RDI + 0x2e) = 0x3f800000;         goto LAB_01
GNCoord	0x70	1	0x3f800000	hex_float	01c31df0.c	loat *)(unaff_RDI + 0x70) <= 0.0) {     *(undefined4 *)(unaff_RDI + 0x70) = 0x3f800000;   }   FUN_01d4e800(
GNCoord	0x74	1	0x3f800000	hex_float	01c31df0.c	loat *)(unaff_RDI + 0x74) <= 0.0) {     *(undefined4 *)(unaff_RDI + 0x74) = 0x3f800000;   }   if (*(float *
GNData	0x10	1	0x3f800000	hex_float	015ba5e0.c	FUN_00d50b20();   } LAB_015ba6e7:   **(undefined4 **)(lVar25 + 0x10) = 0x3f800000;   if (*(longlong *)
GNData	0x10	1	0x3f800000	hex_float	017f3ef0.c	Var1 = *(float *)(unaff_RDI + 0xac);   **(undefined4 **)(local_40 + 0x10) = 0x3f800000;   lVar4 = 1;   do {
GNData	0x1c	1	0x3f800000	hex_float	01eea1b0.c	else {                   *(undefined4 *)(lVar115 + 0x1c) = 0x3f800000;                   f
GNData	0x1c	1	0x3f800000	hex_float	01eea1b0.c	else {                       *(undefined4 *)(lVar115 + 0x1c) = 0x3f800000;
GNData	0x1c	1	0x3f800000	hex_float	01eea1b0.c	else {                         *(undefined4 *)(lVar115 + 0x1c) = 0x3f800000;
GNData	0x1c	1	0x3f800000	hex_float	01eea1b0.c	else {                       *(undefined4 *)(lVar115 + 0x1c) = 0x3f800000;
GNData	0x1c	1	0x3f800000	hex_float	01eea1b0.c	else {                         *(undefined4 *)(lVar115 + 0x1c) = 0x3f800000;
GNData	0x54	1	0x3f800000	hex_float	007dd720.c	Var10 + 0x154) & 1) + 4];       }       *(undefined4 *)((longlong)plVar11 + 0x54) = 0x3f800000;       plVar11 = DAT
GNData	0x5c	12	0x41400000	hex_float	007dd720.c	Var10 + 0x154) & 1) + 4];       }       *(undefined4 *)((longlong)plVar11 + 0x5c) = 0x41400000;       plVar11 = DAT
GNData	0xc	12	0x41400000	hex_float	007dd720.c	Var10 + 0x154) & 1) + 4];       }       *(undefined4 *)(plVar11 + 0xc) = 0x41400000;       plVar11 = DAT
GNData	0xc4	1	0x3f800000	hex_float	017f4240.c	T_02390124))) {     FUN_00d64850();     *(undefined4 *)(unaff_RDI + 0xc4) = 0x3f800000;     FUN_00d64910();
GNData	0xf	-1	0xbf800000	hex_float	007dd720.c	*)(lVar10 + 0x154) & 1) + 4];     }     *(undefined4 *)(plVar11 + 0xf) = 0xbf800000;     plVar11 = DAT_0
GNDictionary	0x28	100	0x44fa000042c80000	hex_float	01db9210.c	longlong lVar4;      FUN_00d50100();   *(undefined8 *)(unaff_RDI + 0x28) = 0x44fa000042c80000;   *(undefined4 *)(u
GNDictionary	0x30	20	0x41a00000	hex_float	01db9210.c	aff_RDI + 0x28) = 0x44fa000042c80000;   *(undefined4 *)(unaff_RDI + 0x30) = 0x41a00000;   *(undefined4 *)(u
GNEvent	0x1fc	1	0x3f800000	hex_float	01b08e50.c	FUN_00d50b20();   }   FUN_01d52770();   *(undefined4 *)((longlong)unaff_RDI + 0x1fc) = 0x3f800000;   FUN_01f27fe0();
GNEvent	0x3f	1	0x3f800000	hex_float	01af7060.c	ned1 *)0x0) {     *unaff_RSI = 0;   }   *(undefined4 *)(unaff_RDI + 0x3f) = 0x3f800000;   FUN_01f27fe0();
GNFilePath	0x2b8	0.5	0x3f000000	hex_float	00b76f10.c	efined4 *)(unaff_RDI + 0x370) = 0xf8;   *(undefined4 *)(unaff_RDI + 0x2b8) = 0x3f000000;   *(undefined4 *)(u
GNFilePath	0x2d0	0.5	0x3f000000	hex_float	00b76f10.c	4 *)(unaff_RDI + 0x318) = 0x3f000000;   *(undefined4 *)(unaff_RDI + 0x2d0) = 0x3f000000;   *(undefined4 *)(u
GNFilePath	0x2e8	0.5	0x3f000000	hex_float	00b76f10.c	4 *)(unaff_RDI + 0x330) = 0x3f000000;   *(undefined4 *)(unaff_RDI + 0x2e8) = 0x3f000000;   *(undefined4 *)(u
GNFilePath	0x300	0.5	0x3f000000	hex_float	00b76f10.c	4 *)(unaff_RDI + 0x348) = 0x3f000000;   *(undefined4 *)(unaff_RDI + 0x300) = 0x3f000000;   *(undefined4 *)(u
GNFilePath	0x318	0.5	0x3f000000	hex_float	00b76f10.c	4 *)(unaff_RDI + 0x2b8) = 0x3f000000;   *(undefined4 *)(unaff_RDI + 0x318) = 0x3f000000;   *(undefined4 *)(u
GNFilePath	0x330	0.5	0x3f000000	hex_float	00b76f10.c	4 *)(unaff_RDI + 0x2d0) = 0x3f000000;   *(undefined4 *)(unaff_RDI + 0x330) = 0x3f000000;   *(undefined4 *)(u
GNFilePath	0x348	0.5	0x3f000000	hex_float	00b76f10.c	4 *)(unaff_RDI + 0x2e8) = 0x3f000000;   *(undefined4 *)(unaff_RDI + 0x348) = 0x3f000000;   *(undefined4 *)(u
GNFilePath	0x360	0.5	0x3f000000	hex_float	00b76f10.c	4 *)(unaff_RDI + 0x300) = 0x3f000000;   *(undefined4 *)(unaff_RDI + 0x360) = 0x3f000000;   FUN_00b77210(DAT_
GNInt	0x184	18	0x41900000	hex_float	01ce7ee0.c	*)((longlong)unaff_RDI + 0x18a) = 1;   *(undefined4 *)((longlong)unaff_RDI + 0x184) = 0x41900000;   *(undefined1 *)(u
GNList	0x1c	0.5	0x3f000000	hex_float	01b65f90.c	1c)) || NAN(DAT_0239011c))) {           *(undefined4 *)(lVar5 + 0x1c) = 0x3f000000;           *(undefin
GNList	0x1c	1	0x3f800000	hex_float	01b65f90.c	1c)) || NAN(DAT_02390124))) {           *(undefined4 *)(lVar5 + 0x1c) = 0x3f800000;           *(undefin
GNMultipleValue	0x1b0	2	0x40000000	hex_float	01ee0e80.c	fined8 *)(unaff_RDI + 0x1a8) = uVar2;   *(undefined4 *)(unaff_RDI + 0x1b0) = 0x40000000;   *(undefined8 *)(u
GNMultipleValue	0x1b4	10	0x41200000	hex_float	01ee0e80.c	ong *)0x0)) {     FUN_00d50b20();   }   *(undefined4 *)(unaff_RDI + 0x1b4) = 0x41200000;   FUN_01cfbee0(DAT_
GNMultipleValue	0x1c8	16	0x4180000041800000	hex_float	01ee0e80.c	4 *)(unaff_RDI + 0x1b0) = 0x40000000;   *(undefined8 *)(unaff_RDI + 0x1c8) = 0x4180000041800000;   *(undefined2 *)(u
GNMultipleValue	0x1e8	1	0x3f800000	hex_float	01ee0e80.c	ong *)0x0)) {     FUN_00d50b20();   }   *(undefined4 *)(unaff_RDI + 0x1e8) = 0x3f800000;   return; }
