# Class	Index	Property	Address	Type
AND	0	_const	029c198b	
AND	1	_line	029c1a3b	
AND	2	_data	029c1a4b	
AND	3	_line	029c1a7b	
AND	4	_data	029c1a8b	
AND	5	_line	029c1aa2	
AND	6	_data	029c1ab2	
AND	7	_ex	029c1f4a	
AND	8	_ex	029c1f66	
ARA	0	_startPosition	02000823	
ARA	1	_endPosition	02000832	
ARA	2	_documentArchiveID	0200083f	
ARA	3	_shouldOpenAutomatically	02000852	
ARA	4	_plugInName	0200086b	
ARA	5	_lowestSupportedVersion	02000877	
ARA	6	_manufacturerName	0200088f	
ARA	7	_informationURL	020008a1	
BIO	0	_ex	029bae6c	
BIO	1	_ex	029baebb	
BIO	2	_ex	029baed0	
BIO	3	_ex	029baeec	
CDict	0	_advanced	029b6924	
CDict	1	_simpleArgs	029b6990	
CDict	2	_internal	029b6a4c	
CDict	3	_usingCTable	029b6a79	
CFBundleShortVersionString	0	_allProcessorEvents	0200068f	
CFBundleShortVersionString	1	_allMidiEvents	020006a3	
CFBundleShortVersionString	2	_midiEventCount	020006b2	
CFBundleShortVersionString	3	_documentFilePath	020006c2	
CFBundleShortVersionString	4	_documentFilePathIsPlugInSubfolder	020006d4	
CFBundleShortVersionString	5	_hostDoesNotRenderRunningPlugInsContinuously	020006f7	
CFBundleShortVersionString	6	_hostTracks	02000724	
CFBundleShortVersionString	7	_color	02000730	
CFBundleShortVersionString	8	_isFocused	02000737	
CFBundleShortVersionString	9	_processors	02000742	
CGContext	0	_activateKeyModifierTrackingHack	02425ceb	
CGContext	1	_activateIsMovableByWindowBackgroundHack	02425d0c	
CGContext	2	_rootView	02425eb3	
CGContext	3	_trackingArea	02425ebd	
CGContext	4	_lastModifierFlags	02425ecb	
CGContext	5	_modifierFlagsTimer	02425ede	
CGContext	6	_deactiveAcceptingMouseEventsOnExit	02425ef2	
CGContext	7	_activeMovableByWindowBackground	02425f16	
CGContext	8	_isPerformingDrawRect	02425f37	
CGContext	9	_isResettingFirstResponder	02425f4d	
CGContext	10	_shouldNotifyRunLoopObservers	02425f68	
CGContext	11	_mouseDownMakesFirstResponder	02425f86	
CGContext	12	_mouseDownMakesWindowKey	02425fa4	
CGContext	13	_handlesKeyEquivalents	02425fbd	
CGContext	14	_handlesCocoaActions	02425fd4	
CGContext	15	_isMovableByWindowBackgroundHackEnabled	02425fe9	
CStream	0	_fromFrame	029b5e47	
CStream	1	_simpleArgs	029b5e62	
CStream	2	_row	029b5fad	
CStream	3	_row	029b5ff8	
ERT	0	_type	029c8671	
ERT	1	_method	029c8a0e	
ERT	2	_string	029c8bf5	
ERT	3	_ex	029c8eb0	
ERT	4	_fp	029c8f86	
EXTENSION	0	_ex	029b8423	
EXTENSION	1	_fp	029b8434	
EXTENSION	2	_fp	029b8448	
EXTENSION	3	_asc	029b8497	
EXTENSION	4	_default_mask	029b84a0	
GNAccessRightManager	0	_validationDictionaries	01f9ea3c	
GNAccessRightManager	1	_autovalidationDisableLevel	01f9ea54	
GNAccessRightManager	2	_runLoopObserver	01f9ea70	
GNActionGroup	0	_subgroups	01fa2607	
GNActionGroup	1	_supergroup	01fa2612	
GNActionGroup	2	_actionRegistrations	01fa261e	
GNActionPool	0	_groups	01fa2655	
GNActionPool	1	_topLevelGroups	01fa265d	
GNActionPool	2	_keyReleaseSensitiveActions	01fa266d	
GNActionPool	3	_menus	01fa2689	
GNActionPool	4	_menusWithShortCutsOnly	01fa2690	
GNActionPool	5	_currentGroup	01fa26a8	
GNActionQueue	0	_actions	01fa26c4	
GNActionQueue	1	_defaults	01fa26cd	
GNActionQueue	2	_actionIndex	01fa26d7	
GNActionQueue	3	_isRunningModal	01fa26e4	
GNActionQueue	4	_logFile	01fa26f4	
GNActionQueue	5	_logFilePath	01fa26fd	
GNActionQueue	6	_keyboardShortCut	01fa270a	
GNActionQueue	7	_eventTypes	01fa271c	
GNAffineTransform	0	_m11	01fa273a	
GNAffineTransform	1	_m12	01fa273f	
GNAffineTransform	2	_m21	01fa2744	
GNAffineTransform	3	_m22	01fa2749	
GNAffineTransform	4	_tX	01fa274e	
GNAffineTransform	5	_tY	01fa2752	
GNAlertPanel	0	_infoText	01fa2763	
GNAlertPanel	1	_okTitle	01fa276d	
GNAlertPanel	2	_cancelTitle	01fa2776	
GNAnimation	0	_mergesSegmentsAtBorders	01fa5e45	
GNAnimation	1	_isMoving	01fa5e5e	
GNAnimation	2	_isStretching	01fa5e68	
GNAnimation	3	_allowGaps	01fa5e76	
GNAnimation	4	_isEditingSequence	01fa5e81	
GNAnimation	5	_splitsOnBars	01fa5e94	
GNAnimation	6	_titleRects	01fa5ea2	
GNAnimation	7	_visibleRange	01fa5eae	
GNAnimationOwner	0	_animatedView	01fa1c9e	
GNAnimationOwner	1	_animationLevel	01fa1cac	
GNAnimationOwner	2	_removing	01fa1cbc	
GNAnimationOwner	3	_animationImage	01fa1cc6	
GNAnimationOwner	4	_sourceFrame	01fa1cd6	
GNAnimationOwner	5	_destinationFrame	01fa1ce3	
GNAnimationOwner	6	_animationOffset	01fa1cf5	
GNAnimationOwner	7	_duration	01fa1d06	
GNAppearance	0	_alpha	01fa062e	
GNAppearance	1	_mouseOverIntensity	01fa0635	
GNAppearance	2	_isTransparent	01fa0649	
GNAppearance	3	_isBypassingEvents	01fa0658	
GNAppearance	4	_drawingFrameReflectSubviews	01fa066b	
GNAppearance	5	_isAutolayoutingSubviews	01fa0688	
GNAppearance	6	_needsLayout	01fa06a1	
GNAppearance	7	_visibilityPriority	01fa06ae	
GNAppearanceState	0	_controlTextColor	01fa2795	
GNAppearanceState	1	_colorStore	01fa27a7	
GNAppearanceState	2	_flashingIntensity	01fa27b3	
GNAppearanceState	3	_providesPreferences	01fa27c6	
GNAssociation	0	_bindings	01fa2ddc	
GNAssociation	1	_object	01fa2de6	
GNAssociation	2	_isMultipleSelectionSupported	01fa2dee	
GNAssociation	3	_isEstablished	01fa2e0c	
GNAssociation	4	_objectIsEdited	01fa2e1b	
GNAssociation	5	_bindingsDict	01fa2e2b	
GNAssociation	6	_didUpdate	01fa2e39	
GNAssociation	7	_shouldResetComboBoxOnSubjectChanged	01fa2e44	
GNAssociation	8	_isLoaded	01fa2e69	
GNAssociation	9	_objectsKey	01fa2e73	
GNAssociation	10	_titleKey	01fa2e7f	
GNAssociationBinding	0	_aspect	01fa27f0	
GNAssociationBinding	1	_valueTransformerName	01fa27f8	
GNAssociationBinding	2	_keyIsPropertyCache	01fa280e	
GNAssociationBinding	3	_graphicsContext	01fa2822	
GNAudioDevicePrefCtrl	0	_devicePopUpButton	01faf301	
GNAudioDevicePrefCtrl	1	_sampleRatePopUpButton	01faf314	
GNAudioDevicePrefCtrl	2	_bufferSizePopUpButton	01faf32b	
GNAudioDevicePrefCtrl	3	_outputPopUpButton	01faf342	
GNAudioDevicePrefCtrl	4	_ignoreBufferUnderrunsSwitch	01faf355	
GNAudioDevicePrefCtrl	5	_showASIOControlPanelButton	01faf372	
GNAudioDevicePrefCtrl	6	_recordingAccessView	01faf38e	
GNAudioDevicePrefCtrl	7	_sampleRateFormatter	01faf3a3	
GNAudioEffectTypeMask	0	_matchingBarSignaturesCache	02024135	
GNAudioEffectTypeMask	1	_barSignatureCache	02024151	
GNAudioEffectTypeMask	2	_mpdLockedOnServerCache	02024164	
GNAudioFileRecorder	0	_autostart	01ffeba2	
GNAudioFileRecorder	1	_bufferSize	01ffebad	
GNAudioFileRecorder	2	_recordingBufferIndex	01ffebb9	
GNAudioFileRecorder	3	_recordedSampleFrames	01ffebcf	
GNAudioFileRecorder	4	_recordingBufferCompleted	01ffebe5	
GNAudioFileRecorder	5	_completedSampleFrame	01ffebff	
GNAudioFileRecorder	6	_saveTimer	01ffec15	
GNAudioFileRecorder	7	_onHold	01ffec20	
GNAudioFilter	0	_channelIndex	01ffec36	
GNAudioFilter	1	_displayedValues	01ffec44	
GNAudioFilter	2	_displayedPeakValues	01ffec55	
GNAudioFilter	3	_displayedRMS	01ffec6a	
GNAudioFilter	4	_displayedPeakTimes	01ffec78	
GNAudioFilter	5	_showsClipLight	01ffec8c	
GNAudioFilter	6	_isAutorunning	01ffec9c	
GNAudioFilter	7	_drawsScale	01ffecab	
GNAudioFilter	8	_hasSingleBorder	01ffecb7	
GNAudioFilter	9	_highlightsClipping	01ffecc8	
GNAudioFilter	10	_outerMargin	01ffecdc	
GNAudioHALDevice	0	_inputChannelCount	01fafd7f	
GNAudioHALDevice	1	_outputChannelCount	01fafd92	
GNAudioHALDevice	2	_errorDescription	01fafda6	
GNAudioHALDevice	3	_outputBuffersDidUnderrfftun	01fafdb8	
GNAudioHALDevice	4	_reloadRequestedByDriver	01fafdd5	
GNAudioHALDevice	5	_bufferUnderruns	01fafdee	
GNAudioHALDevice	6	_usedInputChannelIndexes	01fafdff	
GNAudioHALDevice	7	_usedOutputChannelIndexes	01fafe18	
GNAudioHALDevice	8	_switchInputBuffersLock	01fafe32	
GNAudioHALDevice	9	_inputDeviceID	01fafe4a	
GNAudioHALDevice	10	_outputDeviceID	01fafe67	
GNAudioHALDevice	11	_inputStreamID	01fafe77	
GNAudioHALDevice	12	_outputStreamID	01fafe94	
GNAudioHALDevice	13	_supportedSampleRates	01fafea4	
GNAudioHALDevice	14	_supportedBufferSizes	01fafeba	
GNAudioHALDevice	15	_maxOutputChannelCount	01fafed0	
GNAudioHALDevice	16	_maxInputChannelCount	01fafee7	
GNAudioHALDevice	17	_changeBuffserSizePending	01fafefd	
GNAudioHALDevice	18	_currentInputBufferWriteIndex	01faff17	
GNAudioMeterProcessor	0	_maxValues	01faf3ce	
GNAudioMeterProcessor	1	_maxRMS	01faf3d9	
GNAudioMeterProcessor	2	_isEBUR128Enabled	01faf3e1	
GNAudioMeterProcessor	3	_ebur128_buffer	01faf3f3	
GNAudioMeterProcessor	4	_frequencyBands	01faf403	
GNAudioMeterProcessor	5	_frequencyBandMagnitudeSlices	01faf413	
GNAudioMeterProcessor	6	_frequencyBandsTransformer	01faf431	
GNAudioMeterView	0	_drawsSliderShadow	01faeb32	
GNAudioMeterView	1	_showsPeakBorder	01faeb45	
GNAudioMeterView	2	_isOutputSlot	01faeb56	
GNAudioMeterView	3	_isDefaultSlot	01faeb64	
GNAudioMeterView	4	_stereoItemCount	01faeb73	
GNAudioMeterView	5	_ioObserver	01faeb84	
GNAudioMeterView	6	_ioConfig	01faeb90	
GNAudioPlugInChannelFormat	0	_title	01f9db9d	
GNAudioPlugInChannelFormat	1	_identifier	01f9dba4	
GNAudioPlugInChannelFormat	2	_manufacturer	01f9dbb0	
GNAudioPlugInChannelFormat	3	_userDictionary	01f9dbbe	
GNAudioPlugInDescription	0	_lastTestResults	01f9db40	
GNAudioPlugInDescription	1	_isEnabled	01f9db51	
GNAudioPlugInDescription	2	_isAvailable	01f9db5c	
GNAudioPlugInDescription	3	_supportedChannelFormats	01f9db69	
GNAudioProcessorController	0	_parameterChangeCounters	01ffed2e	
GNAudioProcessorController	1	_parameterValues	01ffed47	
GNAudioProcessorController	2	_arrangedPrcoessorSource	01ffed58	
GNAudioProcessorEventCache	0	_processingLock	01f9d9bd	
GNAudioProcessorEventCache	1	_stateIsModified	01f9d9cd	
GNAudioProcessorEventCache	2	_isSettingParameterState	01f9d9de	
GNAudioProcessorEventCache	3	_isSongPositionWhileStoppedWorkaroundDisabled	01f9d9f7	
GNAudioProcessorEventCache	4	_lastRenderTransportWasPlaying	01f9da25	
GNAudioProcessorEventCache	5	_expectedNextPlaybackSampleIndex	01f9da44	SInt64
GNAudioProcessorEventCache	6	_hostDocument	01f9da6c	
GNAudioProcessorTimeInfo	0	_inputBuffers	01fad951	float **
GNAudioProcessorTimeInfo	1	_plugInDescription	01fad968	
GNAudioProcessorTimeInfo	2	_currentEvents	01fad97b	
GNAudioProcessorTimeInfo	3	_nextEventIndex	01fad98a	
GNAudioProcessorTimeInfo	4	_isProcessingOffline	01fad99a	
GNAudioProcessorTimeInfo	5	_isBeingHosted	01fad9af	
GNAudioProcessorTimeInfo	6	_processedSampleRange	01fad9be	
GNAudioProcessorTimeInfo	7	_changeCounters	01fad9d4	
GNAudioProcessorTimeInfo	8	_outputPresentationLatency	01fad9e4	
GNAudioProcessorWorkgroup	0	_nextProcessor	01fad8fe	
GNAudioProcessorWorkgroup	1	_previousProcessor	01fad90d	
GNAudioProcessorWorkgroup	2	_hostFeatures	01fad920	
GNAudioProcessorWorkgroup	3	_timeInfo	01fad92e	
GNAudioResampler	0	_sourceProcessor	01ffedc6	
GNAudioResampler	1	_loadedTargetRingBufferIndex	01ffedd7	
GNAudioResampler	2	_targetRingBufferSize	01ffedf4	
GNAudioResampler	3	_targetRingBufferMask	01ffee0a	
GNAudioResampler	4	_loadedSourceRingBufferIndex	01ffee20	
GNAudioResampler	5	_sourceRingBufferSize	01ffee3d	
GNAudioResampler	6	_sourceRingBufferMask	01ffee53	
GNAudioResampler	7	_targetSampleIndex	01ffee69	
GNAudioResampler	8	_sourceSampleRate	01ffee7c	
GNAudioResampler	9	_targetSampleRate	01ffee8e	
GNAudioResampler	10	_rateFactor	01ffeea0	
GNAudioSampleFormat	0	_sampleFormat	01fa1861	
GNAudioSampleFormat	1	_sampleRate	01fa186f	
GNAudioSampleFormat	2	_sampleCount	01fa187b	
GNAudioSimpleFilterType	0	_cutOffHz	01ffef0d	
GNAudioSimpleFilterType	1	_resonanceDirt	01ffef17	
GNAudioSimpleFilterType	2	_limiterKnee	01ffef26	
GNAudioSimpleFilterType	3	_analogness	01ffef33	
GNAudioSimpleFilterType	4	_resonance	01ffef3f	
GNAutoResizingMask	0	_mouseoverViews	01fa2940	
GNAutoResizingMask	1	_isKeyRootView	01fa2950	
GNAutoResizingMask	2	_isForwardingActionToMainResponer	01fa295f	
GNAutoResizingMask	3	_cursorChangeBlocked	01fa2981	
GNAutoResizingMask	4	_lastCursorChange	01fa2996	
GNAutoResizingMask	5	_invalidRects	01fa29a8	
GNAutoResizingMask	6	_distinctScreen	01fa29b6	
GNBackgroundView	0	_shrinks	02032853	
GNBackgroundView	1	_borderColor	0203285c	
GNBackgroundView	2	_highlightedBorderColor	02032869	
GNBackgroundView	3	_borderWidth	02032881	
GNBackgroundView	4	_cornerRadius	0203288e	
GNBinaryArchiveTypeInfoContainer	0	_currentObjectData	01f9e1ab	
GNBinaryArchiveTypeInfoContainer	1	_currentObjectDataStream	01f9e1be	
GNBinaryArchiveTypeInfoContainer	2	_currentObjectExcessKVTypeInfos	01f9e1d7	
GNBinaryArchiveTypeInfoContainer	3	_currentObjectExcessData	01f9e1f7	
GNBinaryArchiveTypeInfoContainer	4	_currentObjectExcessDataStream	01f9e210	
GNBinaryArchiveTypeInfoContainer	5	_currentObjectCompleteData	01f9e22f	
GNBinaryArchiveTypeInfoContainer	6	_currentObjectCompleteDataStream	01f9e24a	
GNBinaryArchiveTypeInfoContainer	7	_classDescriptionKVTypeInfosMap	01f9e26b	
GNBinaryArchiveTypeInfoContainer	8	_allClassDescriptions	01f9e28b	
GNBinaryArchiveTypeInfoContainer	9	_classDescriptionNotShareableKeys	01f9e2a1	
GNBinaryArchiveTypeInfoContainer	10	_allObjects	01f9e2c3	
GNBinaryArchiveTypeInfoContainer	11	_archivedObjects	01f9e2cf	
GNBinaryArchiveTypeInfoContainer	12	_doneObjects	01f9e2e0	
GNBinaryArchiveTypeInfoContainer	13	_todoObjects	01f9e2ed	
GNBinaryArchiveTypeInfoContainer	14	_allKeys	01f9e2fa	
GNBinaryArchiveTypeInfoContainer	15	_delegate	01f9e303	
GNBinaryKeyValueArchiver	0	_usedCompressorIndex	01f9e127	
GNBinaryKeyValueArchiver	1	_gatherOnly	01f9e13c	
GNBinaryKeyValueArchiver	2	_currentObject	01f9e148	
GNBinaryKeyValueArchiver	3	_currentClassDescription	01f9e157	
GNBinaryKeyValueArchiver	4	_currentObjectKVTypeInfos	01f9e170	
GNBinaryKeyValueArchiverKeyValueTypeInfo	0	_keyIndex	02004cc9	
GNBinaryKeyValueArchiverKeyValueTypeInfo	1	_valueCTypeID	02004cd3	
GNBinaryKeyValueArchiverKeyValueTypeInfo	2	_byteCount	02004ce1	
GNBinaryKeyValueArchiverKeyValueTypeInfo	3	_useCount	02004cec	
GNBinaryKeyValueUnarchiver	0	_archiveVersion	01f9e377	
GNBinaryKeyValueUnarchiver	1	_awakesObjectsAfterDecoding	01f9e387	
GNBinaryKeyValueUnarchiver	2	_isCancelled	01f9e3a3	
GNBinaryKeyValueUnarchiver	3	_allObjectsMarker	01f9e3b0	
GNBitfield	0	_archivedClassNamesVersionMap	01f9e3cd	
GNBitfield	1	_allClassNames	01f9e3eb	
GNBitfield	2	_tableClassIdx	01f9e3fa	
GNBitfield	3	_objectOrderIdx	01f9e409	
GNBitfield	4	_sharedKeyValueTypeInfoTable	01f9e419	
GNBitfield	5	_currentObjectGraphIdx	01f9e436	
GNBitfield	6	_objectGraphReadStack	01f9e44d	
GNBitfield	7	_objectInfos	01f9e463	
GNBitfield	8	_currentObjectInfo	01f9e470	
GNBitmapAppearance	0	_plistFilePath	0203292a	
GNBitmapAppearance	1	_directoryContent	02032939	
GNBitmapAppearance	2	_lighGrayColor	0203294b	
GNBitmapAppearance	3	_controlBackgrounds	0203295a	
GNBitmapAppearance	4	_controlKnobs	0203296e	
GNBitmapAppearance	5	_windowBackgroundImage	0203297c	
GNBitmapAppearance	6	_fixedWidthFont	02032993	
GNBitmapAppearance	7	_userFont	020329a3	
GNBitmapAppearance	8	_systemFont	020329ad	
GNBitmapAppearance	9	_smallSystemFont	020329b9	
GNBitmapAppearance	10	_namedColors	020329ca	
GNBitmapAppearance	11	_namedImages	020329d7	
GNBitmapAppearance	12	_directory	020329e4	
GNBorderStyle	0	_borderStyle	01fa07e4	
GNBorderStyle	1	_drawsBackground	01fa07f1	
GNBorderStyle	2	_strokesBorder	01fa0802	
GNBorderStyle	3	_drawsMainResponder	01fa0811	
GNBorderStyle	4	_drawsFrameMask	01fa0825	
