00015c60	_C869701EF43D
000178a0	_E47C2F6A98B9
000178b0	_D1B1BBF33E6C
000178c0	_F998CFF24768
000178d0	_C8C6A8649030
00eafa38	_FSE_buildDTable_wksp
00eafc6d	_FSE_decompress_wksp_bmi2
00eb1294	_ZSTD_updateTree
00eb16a0	_ZSTD_compressBlock_btopt
00eb2aad	_ZSTD_compressBlock_btultra
00eb3ee2	_ZSTD_compressBlock_btultra2
00eb3fba	_ZSTD_compressBlock_btopt_dictMatchState
00eb3fca	_ZSTD_compressBlock_btultra_dictMatchState
00eb3fda	_ZSTD_compressBlock_btopt_extDict
00eb3fea	_ZSTD_compressBlock_btultra_extDict
00ebec6c	_ZSTD_sizeof_DCtx
00ebeca7	_ZSTD_estimateDCtxSize
00ebecb2	_ZSTD_initStaticDCtx
00ebed96	_ZSTD_createDCtx_advanced
00ebee0f	_ZSTD_createDCtx
00ebee32	_ZSTD_freeDCtx
00ebef27	_ZSTD_copyDCtx
00ebef36	_ZSTD_isFrame
00ebef61	_ZSTD_isSkippableFrame
00ebef7f	_ZSTD_frameHeaderSize
00ebeff6	_ZSTD_getFrameHeader_advanced
00ebf22d	_ZSTD_getFrameHeader
00ebf239	_ZSTD_getFrameContentSize
00ebf275	_ZSTD_readSkippableFrame
00ebf322	_ZSTD_findDecompressedSize
00ebf42b	_ZSTD_findFrameCompressedSize
00ebf451	_ZSTD_getDecompressedSize
00ebf5ca	_ZSTD_decompressBound
00ebf62f	_ZSTD_decompressionMargin
00ebf6fe	_ZSTD_insertBlock
00ebf72e	_ZSTD_decompress_usingDict
00ebfbef	_ZSTD_decompressDCtx
00ebfc7a	_ZSTD_decompress_usingDDict
00ebfc92	_ZSTD_decompress
00ebfd06	_ZSTD_nextSrcSizeToDecompress
00ebfd13	_ZSTD_nextInputType
00ebfd36	_ZSTD_decompressContinue
00ec02c5	_ZSTD_loadDEntropy
00ec056a	_ZSTD_decompressBegin
00ec0611	_ZSTD_decompressBegin_usingDict
00ec0778	_ZSTD_decompressBegin_usingDDict
00ec0871	_ZSTD_getDictID_fromDict
00ec088a	_ZSTD_getDictID_fromFrame
00ec08c6	_ZSTD_createDStream
00ec08e9	_ZSTD_initStaticDStream
00ec092b	_ZSTD_createDStream_advanced
00ec0935	_ZSTD_freeDStream
00ec093f	_ZSTD_DStreamInSize
00ec094a	_ZSTD_DStreamOutSize
00ec0955	_ZSTD_DCtx_loadDictionary_advanced
00ec0a18	_ZSTD_DCtx_loadDictionary_byReference
00ec0a2a	_ZSTD_DCtx_loadDictionary
00ec0a39	_ZSTD_DCtx_refPrefix_advanced
00ec0a68	_ZSTD_DCtx_refPrefix
00ec0a9a	_ZSTD_initDStream_usingDict
00ec0adc	_ZSTD_DCtx_reset
00ec0b5d	_ZSTD_initDStream
00ec0bae	_ZSTD_DCtx_refDDict
00ec0df6	_ZSTD_initDStream_usingDDict
00ec0e33	_ZSTD_resetDStream
00ec0e5a	_ZSTD_DCtx_setMaxWindowSize
00ec0e90	_ZSTD_dParam_getBounds
00ec0eec	_ZSTD_DCtx_setFormat
00ec0f16	_ZSTD_DCtx_setParameter
00ec1028	_ZSTD_DCtx_getParameter
00ec109c	_ZSTD_sizeof_DStream
00ec10d7	_ZSTD_decodingBufferSize_min
00ec10f9	_ZSTD_estimateDStreamSize
00ec1115	_ZSTD_estimateDStreamSize_fromFrame
00ec1174	_ZSTD_decompressStream
00ec1c8a	_ZSTD_decompressStream_simpleArgs
00ec1d8c	_ZSTD_DDict_dictContent
00ec1d96	_ZSTD_DDict_dictSize
00ec1da0	_ZSTD_copyDDictParameters
00ec1e49	_ZSTD_createDDict_advanced
00ec2004	_ZSTD_freeDDict
00ec2066	_ZSTD_createDDict
00ec209d	_ZSTD_createDDict_byReference
00ec20d7	_ZSTD_initStaticDDict
00ec2152	_ZSTD_estimateDDictSize
00ec2168	_ZSTD_sizeof_DDict
00ec218d	_ZSTD_getDictID_fromDDict
00ec21c0	_ZSTD_dedicatedDictSearch_lazy_loadDictionary
00ec2530	_ZSTD_insertAndFindFirstIndex
00ec26a0	_ZSTD_row_update
00ec27ef	_ZSTD_compressBlock_btlazy2
00ec3191	_ZSTD_compressBlock_lazy2
00ec3b31	_ZSTD_compressBlock_lazy
00ec4391	_ZSTD_compressBlock_greedy
00ec49bf	_ZSTD_compressBlock_btlazy2_dictMatchState
00ec5904	_ZSTD_compressBlock_lazy2_dictMatchState
00ec6844	_ZSTD_compressBlock_lazy_dictMatchState
00ec745f	_ZSTD_compressBlock_greedy_dictMatchState
00ec7db1	_ZSTD_compressBlock_lazy2_dedicatedDictSearch
00ec8ce4	_ZSTD_compressBlock_lazy_dedicatedDictSearch
00ec98ff	_ZSTD_compressBlock_greedy_dedicatedDictSearch
00eca251	_ZSTD_compressBlock_lazy2_row
00ecb0cb	_ZSTD_compressBlock_lazy_row
00ecbd03	_ZSTD_compressBlock_greedy_row
00ecc6d4	_ZSTD_compressBlock_lazy2_dictMatchState_row
00ecdb1c	_ZSTD_compressBlock_lazy_dictMatchState_row
00ecebbc	_ZSTD_compressBlock_greedy_dictMatchState_row
00ecf825	_ZSTD_compressBlock_lazy2_dedicatedDictSearch_row
00ed0c5c	_ZSTD_compressBlock_lazy_dedicatedDictSearch_row
00ed1cfc	_ZSTD_compressBlock_greedy_dedicatedDictSearch_row
00ed2965	_ZSTD_compressBlock_greedy_extDict
00ed3340	_ZSTD_compressBlock_lazy_extDict
00ed4130	_ZSTD_compressBlock_lazy2_extDict
00ed52ef	_ZSTD_compressBlock_btlazy2_extDict
00ed64af	_ZSTD_compressBlock_greedy_extDict_row
00ed714b	_ZSTD_compressBlock_lazy_extDict_row
00ed8435	_ZSTD_compressBlock_lazy2_extDict_row
00ef8a30	_ERR_getErrorString
00ef8d20	_ZSTD_compressBound
00ef8d66	_ZSTD_createCCtx
00ef8d89	_ZSTD_createCCtx_advanced
00ef8e66	_ZSTD_initStaticCCtx
00ef8ffb	_ZSTD_freeCCtx
00ef9128	_ZSTD_sizeof_CCtx
00ef9199	_ZSTD_sizeof_CStream
00ef91a3	_ZSTD_getSeqStore
00ef91b0	_ZSTD_createCCtxParams
00ef91dc	_ZSTD_freeCCtxParams
00ef920b	_ZSTD_CCtxParams_reset
00ef9273	_ZSTD_CCtxParams_init
00ef92d7	_ZSTD_CCtxParams_init_advanced
00ef9336	_ZSTD_checkCParams
00ef947b	_ZSTD_cParam_getBounds
00ef96c0	_ZSTD_minCLevel
00ef96cb	_ZSTD_maxCLevel
00ef96d6	_ZSTD_CCtx_setParameter
00ef9785	_ZSTD_CCtxParams_setParameter
00ef9c68	_ZSTD_CCtx_getParameter
00ef9c76	_ZSTD_CCtxParams_getParameter
00ef9e9c	_ZSTD_CCtx_setParametersUsingCCtxParams
00ef9ecc	_ZSTD_CCtx_setCParams
00ef9f9b	_ZSTD_CCtx_setFParams
00ef9fd3	_ZSTD_CCtx_setParams
00efa062	_ZSTD_CCtx_setPledgedSrcSize
00efa084	_ZSTD_CCtx_loadDictionary_advanced
00efa1b5	_ZSTD_CCtx_loadDictionary_byReference
00efa1c7	_ZSTD_CCtx_loadDictionary
00efa1d6	_ZSTD_CCtx_refCDict
00efa266	_ZSTD_CCtx_refThreadPool
00efa285	_ZSTD_CCtx_refPrefix
00efa294	_ZSTD_CCtx_refPrefix_advanced
00efa351	_ZSTD_CCtx_reset
00efa45f	_ZSTD_cycleLog
00efa46d	_ZSTD_adjustCParams
00efa6ff	_ZSTD_getCParamsFromCCtxParams
00efa907	_ZSTD_estimateCCtxSize_usingCCtxParams
00efab24	_ZSTD_estimateCCtxSize_usingCParams
00efad09	_ZSTD_estimateCCtxSize
00efadb8	_ZSTD_estimateCStreamSize_usingCCtxParams
00efaed0	_ZSTD_estimateCStreamSize_usingCParams
00efaf57	_ZSTD_estimateCStreamSize
00efafc7	_ZSTD_getFrameProgression
00efb014	_ZSTD_toFlushNow
00efb01c	_ZSTD_reset_compressedBlockState
00efb055	_ZSTD_invalidateRepCodes
00efb077	_ZSTD_copyCCtx
00efb2c5	_ZSTD_seqToCodes
00efb380	_ZSTD_selectBlockCompressor
00efb3cb	_ZSTD_resetSeqStore
00efb3e7	_ZSTD_sequenceBound
00efb404	_ZSTD_generateSequences
00efb4d9	_ZSTD_compress2
00efb56b	_ZSTD_mergeBlockDelimiters
00efb5b0	_ZSTD_buildBlockEntropyStats
00efb957	_ZSTD_writeSkippableFrame
00efb9b0	_ZSTD_writeLastEmptyBlock
00efb9d1	_ZSTD_referenceExternalSequences
00efba14	_ZSTD_compressContinue_public
00efc505	_ZSTD_compressContinue
00efc525	_ZSTD_getBlockSize
00efc547	_ZSTD_compressBlock_deprecated
00efc594	_ZSTD_compressBlock
00efc5e1	_ZSTD_loadCEntropy
00efc96e	_ZSTD_compressBegin_advanced_internal
00efcf11	_ZSTD_compressBegin_advanced
00efcf72	_ZSTD_compressBegin_usingDict
00efd10c	_ZSTD_compressBegin
00efd11c	_ZSTD_CCtx_trace
00efd122	_ZSTD_compressEnd_public
00efd248	_ZSTD_compressEnd
00efd252	_ZSTD_compress_advanced
00efd2e0	_ZSTD_compress_advanced_internal
00efd357	_ZSTD_compress_usingDict
00efd3fa	_ZSTD_compressCCtx
00efd412	_ZSTD_compress
00efd4bf	_ZSTD_estimateCDictSize_advanced
00efd5cb	_ZSTD_estimateCDictSize
00efd63f	_ZSTD_sizeof_CDict
00efd666	_ZSTD_createCDict_advanced
00efd71a	_ZSTD_createCDict_advanced2
00efdba6	_ZSTD_freeCDict
00efdc45	_ZSTD_createCDict
00efdd44	_ZSTD_createCDict_byReference
00efde46	_ZSTD_initStaticCDict
00efdfff	_ZSTD_getCParamsFromCDict
00efe01d	_ZSTD_getDictID_fromCDict
00efe031	_ZSTD_compressBegin_usingCDict_advanced
00efe277	_ZSTD_compressBegin_usingCDict_deprecated
00efe28c	_ZSTD_compressBegin_usingCDict
00efe2a1	_ZSTD_compress_usingCDict_advanced
00efe30e	_ZSTD_compress_usingCDict
00efe32d	_ZSTD_createCStream
00efe350	_ZSTD_createCStream_advanced
