# Top 200 largest anonymous functions (likely DSP/core logic)
# Size	Address	Name
485284	003c59f0	FUN_003c59f0
390766	00663fe0	FUN_00663fe0
206391	004c12c0	FUN_004c12c0
104817	015d3610	FUN_015d3610
99941	01560260	FUN_01560260
75533	013a9370	FUN_013a9370
72175	0144ea10	FUN_0144ea10
71063	00727170	FUN_00727170
60902	007d1200	FUN_007d1200
58608	000ca290	FUN_000ca290
58160	00165600	FUN_00165600
57594	0143b040	FUN_0143b040
55091	0189c810	FUN_0189c810
49038	020811a0	FUN_020811a0
45600	012af3c0	FUN_012af3c0
43492	0160bf70	FUN_0160bf70
42100	013d0250	FUN_013d0250
38132	01473600	FUN_01473600
37243	01497150	FUN_01497150
37013	015a27e0	FUN_015a27e0
34365	01592cf0	FUN_01592cf0
34215	01342760	FUN_01342760
31347	01213640	FUN_01213640
30173	00ba7640	FUN_00ba7640
29132	00216250	FUN_00216250
27699	0154be80	FUN_0154be80
26307	0148b8e0	FUN_0148b8e0
26160	0219b020	FUN_0219b020
25723	01627c10	FUN_01627c10
25354	01f021d0	FUN_01f021d0
25312	01ae5950	FUN_01ae5950
25124	002852b0	FUN_002852b0
24925	01b01040	FUN_01b01040
24603	011fe9a0	FUN_011fe9a0
24196	0232f9b0	FUN_0232f9b0
23561	006167b0	FUN_006167b0
22508	018f8710	FUN_018f8710
22232	00d84520	FUN_00d84520
22047	018d00a0	FUN_018d00a0
21766	014267b0	FUN_014267b0
20908	021b8920	FUN_021b8920
20882	005a31e0	FUN_005a31e0
20762	01125330	FUN_01125330
20721	0146a770	FUN_0146a770
20066	018525d0	FUN_018525d0
20010	013850a0	FUN_013850a0
19096	01858ae0	FUN_01858ae0
19088	00149da0	FUN_00149da0
18686	0121f5b0	FUN_0121f5b0
18681	0120a750	FUN_0120a750
18572	01ac9440	FUN_01ac9440
18525	017b23f0	FUN_017b23f0
18433	0232a950	FUN_0232a950
18326	018735a0	FUN_018735a0
17851	00b96240	FUN_00b96240
17704	01335c70	FUN_01335c70
17637	01f8d550	FUN_01f8d550
17436	012a1e40	FUN_012a1e40
17421	0076c220	FUN_0076c220
17348	00d60ff0	FUN_00d60ff0
17336	01365bf0	FUN_01365bf0
17233	01cdc470	FUN_01cdc470
17130	01231d10	FUN_01231d10
16740	0180dcb0	FUN_0180dcb0
16473	01545010	FUN_01545010
16413	00397510	FUN_00397510
16353	012656e0	FUN_012656e0
16351	00eaab40	FUN_00eaab40
16163	014ce4a0	FUN_014ce4a0
16108	0155ab40	FUN_0155ab40
16106	00779a40	FUN_00779a40
15910	016e6ce0	FUN_016e6ce0
15855	01727ca0	FUN_01727ca0
15735	013a3f50	FUN_013a3f50
15623	01227bd0	FUN_01227bd0
15516	00144890	FUN_00144890
15406	01682440	FUN_01682440
15147	014081d0	FUN_014081d0
15140	016cb2a0	FUN_016cb2a0
15061	009c5e6c	FUN_009c5e6c
14986	01b3a9d0	FUN_01b3a9d0
14796	023268a0	FUN_023268a0
14723	0184a580	FUN_0184a580
14709	01845110	FUN_01845110
14597	00299520	FUN_00299520
14486	01cc4420	FUN_01cc4420
14406	016ebdc0	FUN_016ebdc0
14403	00ea71e0	FUN_00ea71e0
14402	0047e620	FUN_0047e620
14365	014ea5e0	FUN_014ea5e0
14306	01766750	FUN_01766750
14208	017ba980	FUN_017ba980
14025	01fd0ad0	FUN_01fd0ad0
13958	01afb040	FUN_01afb040
13469	00f3ded0	FUN_00f3ded0
13437	0133cd30	FUN_0133cd30
13437	02258b60	FUN_02258b60
13399	01992860	FUN_01992860
13309	02190fc0	FUN_02190fc0
13286	01306940	FUN_01306940
13149	0164dec0	FUN_0164dec0
13093	00719a20	FUN_00719a20
13053	006362a0	FUN_006362a0
13005	01793890	FUN_01793890
12906	0235b150	FUN_0235b150
12864	017cd8d0	FUN_017cd8d0
12797	019b7090	FUN_019b7090
12555	009f0a21	FUN_009f0a21
12472	013c6740	FUN_013c6740
12411	0122d170	FUN_0122d170
12345	0028ec80	FUN_0028ec80
12297	0198c970	FUN_0198c970
12276	0161d8b0	FUN_0161d8b0
12210	0137d070	FUN_0137d070
12152	01aeddb0	FUN_01aeddb0
12139	01260b80	FUN_01260b80
11911	00b04430	FUN_00b04430
11899	017f5350	FUN_017f5350
11888	01624010	FUN_01624010
11843	00939aae	FUN_00939aae
11836	0022c0a0	FUN_0022c0a0
11756	014664c0	FUN_014664c0
11753	017a2a40	FUN_017a2a40
11726	01c50260	FUN_01c50260
11625	01def3c0	FUN_01def3c0
11601	02040df0	FUN_02040df0
11592	01d51d90	FUN_01d51d90
11534	00481ed0	FUN_00481ed0
11488	00322c40	FUN_00322c40
11382	01378d00	FUN_01378d00
11269	023236e0	FUN_023236e0
11251	011477c0	FUN_011477c0
11200	016e3760	FUN_016e3760
11094	0127f6c0	FUN_0127f6c0
11069	006f51f0	FUN_006f51f0
10955	013a0280	FUN_013a0280
10928	00f458d0	FUN_00f458d0
10776	01b71da0	FUN_01b71da0
10774	0207c240	FUN_0207c240
10773	009a9232	FUN_009a9232
10729	01821180	FUN_01821180
10707	01964640	FUN_01964640
10659	0064ce70	FUN_0064ce70
10595	01ca7460	FUN_01ca7460
10535	017c1280	FUN_017c1280
10495	02018770	FUN_02018770
10476	00606960	FUN_00606960
10400	01311f10	FUN_01311f10
10382	01c5d980	FUN_01c5d980
10352	01ef8ee0	FUN_01ef8ee0
10337	014e06e0	FUN_014e06e0
10324	014e4c10	FUN_014e4c10
10256	00345d50	FUN_00345d50
10113	01869490	FUN_01869490
10050	0183f320	FUN_0183f320
10039	00330e70	FUN_00330e70
10003	00853ed0	FUN_00853ed0
9991	01493d20	FUN_01493d20
9938	00196c00	FUN_00196c00
9931	00f4e040	FUN_00f4e040
9881	01a40e80	FUN_01a40e80
9871	012f72a0	FUN_012f72a0
9854	01539c10	FUN_01539c10
9762	00940eae	FUN_00940eae
9739	0007ed80	FUN_0007ed80
9726	00251d00	FUN_00251d00
9710	012883d0	FUN_012883d0
9661	020b2130	FUN_020b2130
9650	01109ef0	FUN_01109ef0
9630	012c3e30	FUN_012c3e30
9606	013cbaf0	FUN_013cbaf0
9581	01a2e850	FUN_01a2e850
9579	00c20370	FUN_00c20370
9526	007a47d0	FUN_007a47d0
9492	023103c0	FUN_023103c0
9433	0094ce3c	FUN_0094ce3c
9431	01968060	FUN_01968060
9356	01a538b0	FUN_01a538b0
9328	014dd580	FUN_014dd580
9325	02281330	FUN_02281330
9322	015413d0	FUN_015413d0
9300	01760e10	FUN_01760e10
9249	02142a00	FUN_02142a00
9220	0200be20	FUN_0200be20
9159	018daeb0	FUN_018daeb0
9144	01eaaa00	FUN_01eaaa00
9132	01b4ff40	FUN_01b4ff40
9129	0212a650	FUN_0212a650
9112	010903a0	FUN_010903a0
9035	01084160	FUN_01084160
